TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, -0, 0, 2.5491, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52801512458825, -0.20724462460446, 0.2802, 2.9275, 0.8821, -0.0075, 0.005, 2.5491, 7.2315, 7.2378, 7.2346, 0, -9.0721, 0, 60, 10
0.1, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52806107091631, -0.20725485278101, 0.2806, 2.9274, 0.8477, -0.0125, 0.0213, 2.5473, 9.6929, 10.8239, 10.2584, -0.0001, -2.4185, 0, 60, 10
0.15, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52782422544808, -0.20737253641612, 0.2782, 2.9263, 0.8198, -0.0401, 0.0353, 2.5382, 3.2494, 1.9318, 2.5906, -0.0002, -18.5167, 0, 60, 10
0.2, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52739225486232, -0.20800177193026, 0.2739, 2.92, 0.8133, -0.0526, 0.0465, 2.5266, 4.0578, 2.7523, 3.4051, -0.0001, -30.7553, 0, 60, 10
0.25, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52678100508405, -0.20914854364117, 0.2678, 2.9085, 0.8226, -0.0409, 0.0588, 2.5157, 5.4009, 4.4483, 4.9246, -0.0001, -40.1626, 0, 60, 10
0.3, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52585913106753, -0.21063794734563, 0.2586, 2.8936, 0.8351, -0.0255, 0.0607, 2.5079, 7.6136, 5.0976, 6.3556, 0.0001, -46.6023, 0, 60, 10
0.35, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52486424718236, -0.21245486727689, 0.2486, 2.8754, 0.8435, -0.0079, 0.0663, 2.5032, 7.931, 5.5243, 6.7276, 0.0005, -49.3507, 0, 60, 10
0.4, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52378589130333, -0.21458161274264, 0.2379, 2.8542, 0.8449, 0.0068, 0.0736, 2.5007, 7.8217, 5.6766, 6.7491, 0.0009, -40.6735, 0, 60, 10
0.45, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52266353817184, -0.21683827273993, 0.2266, 2.8316, 0.8405, 0.0194, 0.0786, 2.4977, 6.0444, 5.3866, 5.7155, 0.0004, -11.339, 0, 60, 10
0.5, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.52143489932518, -0.21902691178686, 0.2143, 2.8097, 0.8352, 0.0276, 0.0845, 2.4933, 7.7119, 5.9473, 6.8296, 0, -19.5537, 0, 60, 10
0.55, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.51992600039435, -0.22121516936334, 0.1993, 2.7878, 0.8317, 0.0283, 0.0834, 2.491, 7.7756, 6.5882, 7.1819, -0.0002, -25.7149, 0, 60, 10
0.6, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.51822482247319, -0.22345335188551, 0.1822, 2.7655, 0.8311, 0.0255, 0.0763, 2.4911, 7.565, 6.9269, 7.246, -0.0003, -31.7228, 0, 60, 10
0.65, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.51655415473777, -0.22582397618098, 0.1655, 2.7418, 0.8334, 0.0264, 0.0755, 2.4929, 8.1847, 7.4608, 7.8228, -0.0004, -36.4844, 0, 60, 10
0.7, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.51466901567033, -0.22825892593179, 0.1467, 2.7174, 0.8364, 0.0179, 0.0687, 2.4962, 8.2744, 8.7158, 8.4951, -0.0005, -39.8313, 0, 60, 10
0.75, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.51240060161467, -0.23059526557019, 0.124, 2.694, 0.8388, -0.0046, 0.0469, 2.504, 8.5625, 10.4242, 9.4933, -0.0004, -41.4966, 0, 60, 10
0.8, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.50992047518225, -0.23306449997807, 0.0992, 2.6693, 0.8394, -0.0303, 0.0225, 2.5122, 9.1656, 9.8972, 9.5314, -0.0004, -42.2107, 0, 60, 10
0.85, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.50735978770335, -0.23571669715251, 0.0736, 2.6428, 0.8391, -0.0432, 0.0077, 2.5183, 9.4917, 9.9452, 9.7185, -0.0003, -42.9084, 0, 60, 10
0.9, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.50474482264127, -0.23859179228171, 0.0474, 2.6141, 0.8387, -0.0515, -0.0116, 2.5226, 11.9409, 9.727, 10.834, -0.0002, -41.365, 0, 60, 10
0.95, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.50229968010424, -0.24166365463954, 0.023, 2.5834, 0.84, -0.0505, -0.0172, 2.5223, 11.1737, 9.2196, 10.1967, -0.0002, -40.3886, 0, 60, 10
1, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.49992193817988, -0.24479516943964, -0.0008, 2.552, 0.8438, -0.0451, -0.0163, 2.5186, 11.6398, 9.1507, 10.3952, -0.0001, -39.8657, 0, 60, 10
1.05, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.49752072945466, -0.24806127178435, -0.0248, 2.5194, 0.8475, -0.0396, -0.0096, 2.5127, 12.2566, 9.5231, 10.8898, -0.0002, -37.0913, 0, 60, 10
1.1, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.49511462896574, -0.25137765670329, -0.0489, 2.4862, 0.8498, -0.0377, -0.0059, 2.5079, 10.6055, 10.248, 10.4268, -0.0001, -36.148, 0, 60, 10
1.15, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.49270294257964, -0.25483749835491, -0.073, 2.4516, 0.8506, -0.0373, 0.0055, 2.5045, 12.6454, 10.9735, 11.8094, -0.0001, -32.4554, 0, 60, 10
1.2, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.49017836217329, -0.25853530604421, -0.0982, 2.4146, 0.848, -0.0355, 0.0275, 2.5023, 12.711, 11.5753, 12.1431, -0.0001, -26.4643, 0, 60, 10
1.25, 0.52797257573142, -0.20730818711889, 0.2797, 2.9269, 0.8969, 0.48742960976049, -0.26253125673534, -0.1257, 2.3747, 0.8399, -0.032, 0.0322, 2.4962, 12.0921, 11.1046, 11.5984, -0.0001, -22.2256, 0, 60, 10
