TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, -0, 0, -0.9155, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21405544234889, -0.4976585522338, -2.8594, 0.0234, 0.9212, 0.0055, -0.0071, -0.9155, 7.2324, 7.2383, 7.2354, 0, -9.0728, 0, 60, 10
0.1, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21404740762668, -0.49766494596173, -2.8595, 0.0234, 0.8829, 0.0063, -0.0081, -0.9155, 12.7792, 12.8429, 12.8111, -0, -0.1629, 0, 60, 10
0.15, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21404247235221, -0.49766938502612, -2.8596, 0.0233, 0.8204, 0.0069, -0.0087, -0.9155, 10.5113, 10.5558, 10.5336, -0, 1.7078, 0, 60, 10
0.2, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21403841922825, -0.4976733750059, -2.8596, 0.0233, 0.7333, 0.0073, -0.0092, -0.9155, 9.3479, 9.3848, 9.3663, -0, -0.0244, 0, 60, 10
0.25, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21402411408485, -0.49751341762718, -2.8598, 0.0249, 0.6263, 0.0018, -0.0151, -0.9111, 6.3062, 5.4524, 5.8793, -0, -4.9027, 0, 60, 10
0.3, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21412019696466, -0.49695332959333, -2.8588, 0.0305, 0.5788, -0.0021, -0.0173, -0.8954, 1.6643, 1.7921, 1.7282, 0.0017, -21.4702, 0, 60, 10
0.35, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21432957658015, -0.49646698158642, -2.8567, 0.0353, 0.6049, -0.0045, -0.0163, -0.8751, 2.6127, 2.6449, 2.6288, 0.0007, -37.865, 0, 60, 10
0.4, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21461641854713, -0.4961524871367, -2.8538, 0.0385, 0.6404, 0.0072, -0.0291, -0.867, 2.4004, 3.5054, 2.9529, 0.0004, -49.0685, 0, 60, 10
0.45, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21512515713008, -0.49576704737815, -2.8487, 0.0423, 0.6641, 0.0234, -0.0335, -0.8633, 3.2601, 3.6157, 3.4379, 0.0006, -53.4405, 0, 60, 10
0.5, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21598999841594, -0.49514063042403, -2.8401, 0.0486, 0.6679, 0.0321, -0.0195, -0.8589, 2.7147, 3.4592, 3.087, 0.001, -38.6852, 0, 60, 10
0.55, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21696706355174, -0.49417269086993, -2.8303, 0.0583, 0.6565, 0.0144, -0.0095, -0.8511, 3.2176, 4.3906, 3.8041, 0.0005, -43.3566, 0, 60, 10
0.6, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21819794961519, -0.49312657222452, -2.818, 0.0687, 0.6438, 0.0144, -0.0019, -0.8418, 3.9882, 6.0805, 5.0343, -0, -48.654, 0, 60, 10
0.65, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.21966403607795, -0.49197315383797, -2.8034, 0.0803, 0.6373, 0.0275, -0.0002, -0.8303, 5.2946, 6.5071, 5.9009, -0.0001, -53.7282, 0, 60, 10
0.7, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.22130915141031, -0.49057681178796, -2.7869, 0.0942, 0.6382, 0.0375, -0.0056, -0.8166, 6.0391, 7.4496, 6.7443, -0.0005, -54.188, 0, 60, 10
0.75, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.22323502902371, -0.48900377292161, -2.7676, 0.11, 0.6431, 0.0516, -0.0073, -0.8106, 8.2384, 9.7295, 8.984, -0.0006, -42.7484, 0, 60, 10
0.8, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2252287607006, -0.48724607031788, -2.7477, 0.1275, 0.6471, 0.0594, -0.0106, -0.8093, 5.8471, 7.3564, 6.6018, -0.0003, -1.2351, 0, 60, 10
0.85, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.22726879335829, -0.48557143439566, -2.7273, 0.1443, 0.6487, 0.0698, -0.0056, -0.8096, 6.7345, 6.1644, 6.4495, -0.0001, -6.9476, 0, 60, 10
0.9, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.22909772978328, -0.484347793408, -2.709, 0.1565, 0.6488, 0.0703, -0.0099, -0.8172, 5.9081, 5.1698, 5.5389, -0.0004, -15.6393, 0, 60, 10
0.95, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23048449422592, -0.48445166662057, -2.6951, 0.1555, 0.6485, 0.083, -0.0041, -0.8284, 3.7751, 3.3846, 3.5798, -0.0005, -28.8333, 0, 60, 10
1, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23145121197466, -0.48479253729351, -2.6855, 0.1521, 0.6478, 0.0905, -0.0011, -0.8326, 2.6695, 3.7012, 3.1853, 0.0002, -41.9475, 0, 60, 10
1.05, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23222645537906, -0.48485189618234, -2.6777, 0.1515, 0.6466, 0.0908, -0.0028, -0.8291, 2.519, 3.337, 2.928, 0.0007, -52.4439, 0, 60, 10
1.1, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23270982617439, -0.48477591948685, -2.6729, 0.1522, 0.6458, 0.0871, -0.0056, -0.8315, 2.0351, 1.6787, 1.8569, 0.0009, -42.6446, 0, 60, 10
1.15, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23274554134906, -0.48467602638202, -2.6725, 0.1532, 0.6451, 0.0766, -0.011, -0.8367, 1.5975, 0.6344, 1.116, 0.0006, -37.7953, 0, 60, 10
1.2, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23273416876007, -0.48456044530477, -2.6727, 0.1544, 0.6446, 0.0646, -0.0192, -0.8418, 0.9547, 1.792, 1.3733, 0.0003, -53.1536, 0, 60, 10
1.25, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23282908338649, -0.484481358731, -2.6717, 0.1552, 0.6444, 0.0649, -0.0202, -0.8457, 1.9551, 2.4964, 2.2258, 0, -59.4111, 0, 60, 10
1.3, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23288759142298, -0.48448729238471, -2.6711, 0.1551, 0.6444, 0.0666, -0.0207, -0.8494, 0.6478, 0.7978, 0.7228, 0.0001, -24.9216, 0, 60, 10
1.35, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23283833404589, -0.48453870148888, -2.6716, 0.1546, 0.6444, 0.065, -0.0202, -0.8579, 1.2147, 0.7697, 0.9922, 0, -29.0652, 0, 60, 10
1.4, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23291627323549, -0.48454453679473, -2.6708, 0.1546, 0.6446, 0.0675, -0.0169, -0.868, 2.8053, 2.2764, 2.5408, 0.0003, -44.495, 0, 60, 10
1.45, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.233090772143, -0.48436057713857, -2.6691, 0.1564, 0.645, 0.069, -0.0175, -0.875, 4.1089, 3.298, 3.7034, 0.0003, -52.9842, 0, 60, 10
1.5, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23341681020289, -0.4839524648475, -2.6658, 0.1605, 0.6454, 0.0686, -0.0206, -0.8812, 3.7651, 3.0749, 3.42, 0.0007, -40.016, 0, 60, 10
1.55, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23376170721015, -0.48371335439845, -2.6624, 0.1629, 0.6455, 0.0674, -0.0195, -0.8852, 2.0694, 2.1368, 2.1031, 0.0003, -34.1613, 0, 60, 10
1.6, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23405188704392, -0.48366259051579, -2.6595, 0.1634, 0.6455, 0.0694, -0.0158, -0.8882, 2.3736, 2.3583, 2.366, -0.0001, -48.1058, 0, 60, 10
1.65, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23418740443568, -0.48355646722358, -2.6581, 0.1644, 0.6455, 0.0673, -0.0198, -0.8926, 4.0257, 1.9871, 3.0064, -0.0004, -58.5278, 0, 60, 10
1.7, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23428577613843, -0.48346525257159, -2.6571, 0.1653, 0.6455, 0.0627, -0.0276, -0.8956, 2.6016, 1.8934, 2.2475, -0.0008, -50.2853, 0, 60, 10
1.75, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23435665812395, -0.48351433560006, -2.6564, 0.1649, 0.6455, 0.062, -0.0273, -0.8983, 0.6502, 0.3405, 0.4954, -0.0003, -15.849, 0, 60, 10
1.8, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23441299654702, -0.48348682949415, -2.6559, 0.1651, 0.6452, 0.0588, -0.0278, -0.9018, 2.8762, 1.3267, 2.1015, 0.0002, -37.6885, 0, 60, 10
1.85, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23457755337988, -0.48339009991188, -2.6542, 0.1661, 0.6451, 0.0563, -0.0296, -0.9028, 3.1748, 2.0795, 2.6272, 0.0005, -49.5965, 0, 60, 10
1.9, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23485206908164, -0.48332025207568, -2.6515, 0.1668, 0.6452, 0.059, -0.0299, -0.9042, 3.1015, 2.4558, 2.7786, 0.0006, -54.2525, 0, 60, 10
1.95, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23505582200739, -0.48328787030052, -2.6494, 0.1671, 0.6455, 0.0593, -0.0311, -0.9065, 2.013, 2.0187, 2.0159, 0.0006, -39.66, 0, 60, 10
2, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2351384103686, -0.48322764118222, -2.6486, 0.1677, 0.6456, 0.0571, -0.0326, -0.9082, 2.9362, 2.475, 2.7056, 0.0001, -47.5033, 0, 60, 10
2.05, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23512951733779, -0.48315703338534, -2.6487, 0.1684, 0.6457, 0.055, -0.034, -0.9078, 3.0836, 2.8675, 2.9756, -0.0007, -57.6227, 0, 60, 10
2.1, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23508853310196, -0.48311660347768, -2.6491, 0.1688, 0.6458, 0.0536, -0.0358, -0.9078, 2.8868, 3.135, 3.0109, -0.0011, -58.9469, 0, 60, 10
2.15, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2349618848991, -0.48312491536124, -2.6504, 0.1688, 0.6459, 0.0488, -0.0386, -0.9078, 0.3433, 1.4689, 0.9061, -0.0012, -27.1233, 0, 60, 10
2.2, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23488146615131, -0.48321142123732, -2.6512, 0.1679, 0.6457, 0.053, -0.0328, -0.9133, 1.7784, 1.1585, 1.4684, -0.0003, -31.6663, 0, 60, 10
2.25, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23485965080764, -0.48317326376107, -2.6514, 0.1683, 0.6453, 0.0499, -0.035, -0.9181, 1.013, 3.213, 2.113, 0.0003, -46.6545, 0, 60, 10
2.3, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2349049981122, -0.48315633004919, -2.6509, 0.1684, 0.6449, 0.0496, -0.0368, -0.917, 2.4287, 2.8695, 2.6491, 0.0007, -54.7756, 0, 60, 10
2.35, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23497475952816, -0.48320614770631, -2.6502, 0.1679, 0.6447, 0.0495, -0.0377, -0.9126, 1.7625, 2.0932, 1.9279, 0.0007, -39.7836, 0, 60, 10
2.4, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23507935396828, -0.48327110348197, -2.6492, 0.1673, 0.645, 0.0489, -0.0378, -0.9097, 3.5009, 2.022, 2.7614, 0.0001, -43.0951, 0, 60, 10
2.45, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23525618938255, -0.48328487069105, -2.6474, 0.1672, 0.6454, 0.0485, -0.0382, -0.9055, 4.5103, 2.9539, 3.7321, -0.0001, -53.6947, 0, 60, 10
2.5, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23547374677169, -0.4833146432679, -2.6453, 0.1669, 0.6459, 0.0487, -0.0393, -0.8994, 4.805, 3.6794, 4.2422, -0.0004, -58.9706, 0, 60, 10
2.55, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23571006774058, -0.48342009302634, -2.6429, 0.1658, 0.6464, 0.0536, -0.0357, -0.892, 2.6492, 3.6384, 3.1438, -0.0009, -47.1686, 0, 60, 10
2.6, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23578519358531, -0.48353466976341, -2.6421, 0.1647, 0.6465, 0.0528, -0.0329, -0.8883, 1.9137, 0.6878, 1.3008, -0.0005, -16.9719, 0, 60, 10
2.65, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23586778194651, -0.4835376783136, -2.6413, 0.1646, 0.6466, 0.0472, -0.0337, -0.8885, 3.1081, 0.9623, 2.0352, -0.0002, -38.4482, 0, 60, 10
2.7, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23595933486424, -0.48349823188444, -2.6404, 0.165, 0.6467, 0.0434, -0.036, -0.888, 3.9265, 1.423, 2.6748, 0.0001, -49.4004, 0, 60, 10
2.75, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23606605123397, -0.48350083363215, -2.6393, 0.165, 0.6467, 0.0436, -0.0374, -0.884, 3.2023, 2.0493, 2.6258, 0.0004, -50.2153, 0, 60, 10
2.8, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23611371120338, -0.4835541500886, -2.6389, 0.1645, 0.6466, 0.0446, -0.0374, -0.881, 1.9211, 2.0145, 1.9678, 0.0004, -33.5744, 0, 60, 10
2.85, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23617777440388, -0.48358548580024, -2.6382, 0.1641, 0.6465, 0.0465, -0.0367, -0.8789, 3.6026, 3.4065, 3.5045, -0.0005, -46.3137, 0, 60, 10
2.9, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23626165022799, -0.4835627868181, -2.6374, 0.1644, 0.6465, 0.0467, -0.0384, -0.8773, 4.8843, 4.298, 4.5911, -0.0008, -55.2032, 0, 60, 10
2.95, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23624786960652, -0.48352264301327, -2.6375, 0.1648, 0.6465, 0.0442, -0.0421, -0.8771, 5.5683, 3.9781, 4.7732, -0.0011, -59.4987, 0, 60, 10
3, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23617415043422, -0.48352436112044, -2.6383, 0.1648, 0.6463, 0.0404, -0.0463, -0.8778, 4.8955, 2.869, 3.8823, -0.0017, -50.5501, 0, 60, 10
3.05, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2361386736786, -0.48363951304343, -2.6386, 0.1636, 0.6461, 0.0433, -0.0406, -0.8777, 1.8119, 0.6092, 1.2106, -0.0007, -18.9261, 0, 60, 10
3.1, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23619937517041, -0.48365492236361, -2.638, 0.1635, 0.6462, 0.0434, -0.0375, -0.8776, 3.4459, 2.4318, 2.9388, -0.0002, -37.3065, 0, 60, 10
3.15, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23630284904097, -0.48358874767065, -2.637, 0.1641, 0.6465, 0.0428, -0.0373, -0.8765, 4.5327, 2.6812, 3.607, -0, -47.4472, 0, 60, 10
3.2, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23628387088406, -0.4835389911084, -2.6372, 0.1646, 0.6467, 0.0416, -0.0394, -0.8765, 4.2164, 2.9284, 3.5724, 0.0004, -44.3018, 0, 60, 10
3.25, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23618690585375, -0.48361193839204, -2.6381, 0.1639, 0.6467, 0.0434, -0.0373, -0.8773, 2.2769, 1.2045, 1.7407, -0.0001, -21.6781, 0, 60, 10
3.3, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23614616003698, -0.48361457590261, -2.6385, 0.1639, 0.6467, 0.0456, -0.0354, -0.8798, 3.3528, 2.8395, 3.0962, -0.0005, -37.7852, 0, 60, 10
3.35, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23614954558758, -0.48354647299571, -2.6385, 0.1645, 0.6468, 0.0475, -0.0352, -0.8818, 2.1365, 4.012, 3.0742, -0.0006, -52.5104, 0, 60, 10
3.4, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23612749182485, -0.4834872735496, -2.6387, 0.1651, 0.6468, 0.0505, -0.0351, -0.8829, 2.4652, 4.3973, 3.4312, -0.001, -59.8636, 0, 60, 10
3.45, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23603515212423, -0.48347141421349, -2.6396, 0.1653, 0.6467, 0.0521, -0.0353, -0.8845, 2.2182, 3.0246, 2.6214, -0.0013, -55.961, 0, 60, 10
3.5, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23581180115202, -0.4835154308375, -2.6419, 0.1648, 0.6465, 0.0485, -0.036, -0.887, 0.2711, 0.5851, 0.4281, -0.0007, -18.1499, 0, 60, 10
3.55, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.2356684636152, -0.48348955045137, -2.6433, 0.1651, 0.6462, 0.0431, -0.0384, -0.8896, 1.8361, 2.6231, 2.2296, -0.0001, -34.8874, 0, 60, 10
3.6, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23571042536916, -0.48344506891025, -2.6429, 0.1655, 0.646, 0.0405, -0.0408, -0.8891, 2.3005, 3.6536, 2.977, 0.0001, -46.8048, 0, 60, 10
3.65, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23590237655162, -0.48345647428079, -2.641, 0.1654, 0.6461, 0.0408, -0.042, -0.8841, 3.1, 4.3746, 3.7373, 0.0002, -50.378, 0, 60, 10
3.7, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23617703530481, -0.48359220474664, -2.6382, 0.1641, 0.6466, 0.0457, -0.0377, -0.8773, 2.253, 2.511, 2.382, -0.0001, -28.3252, 0, 60, 10
3.75, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23634833939697, -0.48367429540023, -2.6365, 0.1633, 0.6469, 0.0453, -0.0365, -0.8744, 3.9281, 2.4085, 3.1683, -0.0006, -37.6529, 0, 60, 10
3.8, 0.21411600078926, -0.49761179565355, -2.8588, 0.0239, 0.9359, 0.23642544411987, -0.48366750939848, -2.6357, 0.1633, 0.6471, 0.0396, -0.0401, -0.8721, 4.2532, 2.6117, 3.4324, -0.0008, -50.0483, 0, 60, 10
