TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, -0, 0, 2.8285, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62194586409734, -0.22091373617885, 1.2195, 2.7909, 4.3048, -0.0086, 0.0027, 2.8285, 7.2327, 7.2388, 7.2357, 0, -9.0731, 0, 60, 10
0.1, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62194884433526, -0.22090391331465, 1.2195, 2.791, 4.2665, -0.0098, 0.0031, 2.8285, 12.779, 12.8426, 12.8108, -0, -0.1623, 0, 60, 10
0.15, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195038213803, -0.22089754752645, 1.2195, 2.791, 4.204, -0.0106, 0.0033, 2.8285, 10.5107, 10.5564, 10.5335, -0, 1.7071, 0, 60, 10
0.2, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195152654939, -0.22089201620486, 1.2195, 2.7911, 4.1169, -0.0112, 0.0034, 2.8285, 9.3482, 9.3848, 9.3665, -0, -0.0239, 0, 60, 10
0.25, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195275440741, -0.22088612725473, 1.2195, 2.7911, 4.0053, -0.0119, 0.0036, 2.8285, 9.878, 9.9175, 9.8978, -0, -0.4046, 0, 60, 10
0.3, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195393458163, -0.22088016677888, 1.2195, 2.7912, 3.8692, -0.0126, 0.0037, 2.8285, 10.1211, 10.1612, 10.1411, -0, -0.0375, 0, 60, 10
0.35, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.6219551266768, -0.22087420630304, 1.2195, 2.7913, 3.7086, -0.0133, 0.0039, 2.8285, 10.0271, 10.0671, 10.0471, -0, 0.07, 0, 60, 10
0.4, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.6219561637996, -0.220868293511, 1.2196, 2.7913, 3.5234, -0.014, 0.004, 2.8285, 9.9832, 10.0248, 10.004, -0, 0.0495, 0, 60, 10
0.45, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195710555478, -0.22086238071896, 1.2196, 2.7914, 3.3138, -0.0147, 0.0041, 2.8285, 9.9791, 10.0209, 10, -0, 0.038, 0, 60, 10
0.5, 0.62192242750631, -0.22098654935179, 1.2192, 2.7901, 4.3195, 0.62195790425855, -0.2208563725593, 1.2196, 2.7914, 3.0796, -0.0155, 0.0042, 2.8285, 9.9651, 10.0058, 9.9855, -0, 0.0095, 0, 60, 10
